rel_time_sec,timestamp_sec,ground_truth_x_m,ground_truth_y_m,estimated_x_m,estimated_y_m,gnss_x_m,gnss_y_m,speed_kmh,position_error_m,uncertainty_m,gnss_status
7.5,33036.5,-65.90942064650778,44.68364360534651,-64.98883857895264,46.008099464947,,,37.69,1.6129645585486931,4.662411846485312,DENIED
7.599999999998545,33036.6,-66.81266154770614,45.19571326186091,-65.86649269836047,46.56813124291492,,,37.48,1.666963288795671,4.834758794822623,DENIED
7.69999999999709,33036.7,-67.71590244887433,45.69665097074784,-66.74112075905178,47.1251586536267,,,37.33,1.7294026549237258,5.008759126429735,DENIED
7.80000000000291,33036.8,-68.61235206509741,46.186456730425355,-67.61164261528096,47.67829040834217,,,37.13,1.7963816759026365,5.184119499179211,DENIED
7.900000000001455,33036.9,-69.5088016813054,46.676262490102864,-68.47720838910818,48.2267897464132,,,36.89,1.862342474698882,5.360584921885449,DENIED
8.0,33037.0,-70.39846001253814,47.177200198198825,-69.33588691853706,48.76798858516647,,,36.54,1.9130262079245421,5.537552361797404,DENIED
8.099999999998545,33037.1,-71.28132705881067,47.667005957085365,-70.19409100133034,49.30367057729575,,,36.42,1.9648799769283078,5.716066863279564,DENIED
8.19999999999709,33037.2,-72.15740282010793,48.145679769135405,-71.04685272781545,49.82915468640281,,,36.06,2.0167819179473367,5.894886820875638,DENIED
8.30000000000291,33037.3,-73.0334785814052,48.61322162960312,-71.89587374931766,50.34317759947384,,,35.73,2.0704812029285096,6.074071830026365,DENIED
8.400000000001455,33037.4,-73.90955434271754,49.0807634908618,-72.74760069249382,50.84672652746522,,,35.62,2.1139445905505228,6.254648036416288,DENIED
8.5,33037.5,-74.792421388975,49.5149095052832,-73.60101143842166,51.33690417534859,,,35.43,2.176952513957115,6.436140647731103,DENIED
8.599999999998545,33037.6,-75.66849715027227,49.94905551891363,-74.45366199720762,51.81035297765089,,,35.11,2.2226679191960756,6.617790519051947,DENIED
8.69999999999709,33037.7,-76.54457291158461,50.394333482544454,-75.31127463169113,52.26889067418928,,,35.01,2.243878185627629,6.800644206805188,DENIED
8.80000000000291,33037.8,-77.42064867288188,50.795083649337606,-76.16923165510774,52.70758888427795,,,34.69,2.2855460673652956,6.983442862848343,DENIED
8.900000000001455,33037.9,-78.29672443417914,51.195833816130765,-77.0333224195417,53.12776485364971,,,34.59,2.3083635294985387,7.16722925402116,DENIED
9.0,33038.0,-79.1795914804366,51.56318813529567,-77.90114284225194,53.52640342917959,,,34.38,2.3427857799243887,7.351298199702901,DENIED
9.099999999998545,33038.1,-80.05566724174895,51.90827855683271,-78.7708476578473,53.90099295728782,,,34.09,2.371006546797872,7.535074324477669,DENIED
9.19999999999709,33038.2,-80.93853428800641,52.2311050807419,-79.64368727350343,54.25066895689065,,,33.85,2.399013764198164,7.718668916122656,DENIED
9.30000000000291,33038.3,-81.82819261925421,52.520535756231865,-80.51835572054365,54.57234512228719,,,33.55,2.4342543778036094,7.9015463580064775,DENIED
